site_id,longitude,latitude,actual_zone,soil_type,slope_percentage,landslide_hazard
SITE-0001,121.14111836320767,14.668837503159654,Forest Zone,Clay Loam,28.01,Moderate
SITE-0002,121.16978605854666,14.700530146559855,Forest Zone,Sandy Loam,21.06,High
SITE-0003,121.1536883435465,14.681314511918181,Medium Density Residential Zone,Silty Clay,1.62,High
SITE-0004,121.16780540646394,14.69847403088032,Forest Zone,Sandy Loam,0.77,Moderate
SITE-0005,121.1864139066203,14.684693241237591,Forest Zone,Silty Clay,8.41,High
SITE-0006,121.19972408084433,14.67623089432793,Forest Zone,Sandy Loam,15.96,Moderate
SITE-0007,121.20107550745301,14.714817537299467,Forest Zone,Sandy Loam,3.93,Moderate
SITE-0008,121.2082581892061,14.721775446390907,Forest Zone,Sandy Loam,17.82,Moderate
SITE-0009,121.19258125925163,14.724565542080406,Forest Zone,Clay Loam,21.92,Moderate
SITE-0010,121.21280994328409,14.719904873788535,Forest Zone,Clay Loam,30.57,Moderate
SITE-0011,121.20883729648554,14.671520288594596,Forest Zone,Sandy Loam,33.4,Moderate
SITE-0012,121.19900055917854,14.698109777511958,Forest Zone,Sandy Loam,0.26,Low
SITE-0013,121.18525933886883,14.720630603281256,Forest Zone,Clay Loam,21.52,Moderate
SITE-0014,121.1829459375918,14.704688190861516,Forest Zone,Sandy Loam,10.56,Moderate
SITE-0015,121.16003138738654,14.708468554676255,Forest Zone,Clay Loam,34.2,Moderate
SITE-0016,121.16197914317277,14.657968649401383,Medium Density Residential Zone,Clay Loam,17.35,Low
SITE-0017,121.1852663127211,14.70092541763463,Forest Zone,Clay Loam,2.26,High
SITE-0018,121.15594442451395,14.680966867914139,Forest Zone,Clay Loam,9.88,Moderate
SITE-0019,121.1540723066287,14.700891656344293,Forest Zone,Clay Loam,21.28,High
SITE-0020,121.17215055247354,14.665343353919313,Forest Zone,Loam,30.07,High
SITE-0021,121.17673457842433,14.662946296796065,Forest Zone,Clay Loam,24.51,Moderate
SITE-0022,121.21193608665799,14.663865307838968,Forest Zone,Loam,31.16,Moderate
SITE-0023,121.20310531806436,14.715993731938433,Forest Zone,Clay Loam,13.04,Moderate
SITE-0024,121.16903786556017,14.698037891452207,Forest Zone,Silty Clay,20.89,Low
SITE-0025,121.15358499744758,14.67549911893692,Medium Density Residential Zone,Sandy Loam,32.0,High
SITE-0026,121.18459706261868,14.726923052745917,Forest Zone,Clay Loam,0.52,Low
SITE-0027,121.19159763005875,14.674825339493745,Forest Zone,Sandy Loam,17.59,Moderate
SITE-0028,121.18909423825313,14.717042400583646,Forest Zone,Loam,24.22,Moderate
SITE-0029,121.20987657851342,14.687583054083508,Forest Zone,Loam,32.59,Low
SITE-0030,121.15311827510449,14.710929592759593,Forest Zone,Clay Loam,13.21,High
SITE-0031,121.15583287689685,14.708220910325092,Forest Zone,Clay Loam,33.01,Moderate
SITE-0032,121.17813119350859,14.706308511639588,Forest Zone,Silty Clay,15.83,Low
SITE-0033,121.17410745506584,14.661644737719534,Forest Zone,Clay Loam,26.69,Moderate
SITE-0034,121.20405883762575,14.672944003501177,Forest Zone,Clay Loam,23.44,Low
SITE-0035,121.1621916796512,14.65786239307709,Medium Density Residential Zone,Silty Clay,28.17,Low
SITE-0036,121.21369394628354,14.690654982144679,Forest Zone,Sandy Loam,29.49,High
SITE-0037,121.21298019576645,14.717970828200174,Forest Zone,Clay Loam,19.32,High
SITE-0038,121.17442748574291,14.698951637322939,Forest Zone,Sandy Loam,24.07,High
SITE-0039,121.1756593366186,14.70787942561149,Forest Zone,Sandy Loam,25.9,High
SITE-0040,121.1758652289759,14.707264891567887,Forest Zone,Sandy Loam,23.67,Moderate
SITE-0041,121.14265750225576,14.649397919447376,Medium Density Residential Zone,Clay Loam,34.86,Low
SITE-0042,121.2111347075346,14.689603906445262,Forest Zone,Clay Loam,25.7,Moderate
SITE-0043,121.20888671452776,14.67210278681149,Forest Zone,Silty Clay,27.75,Moderate
SITE-0044,121.1957130713072,14.674487743352078,Forest Zone,Sandy Loam,31.22,Moderate
SITE-0045,121.20263327102727,14.686259529761578,Forest Zone,Loam,21.18,Moderate
